tahun,kode_prov,nama_prov,kabkota_4digit,kode_kab_2digit,nama_kab,kelas_kode,kelas,n_individu_tertimbang,n_individu_sample,pop_kab_total,pct_kelas_dalam_kab
2019,12,Sumatera Utara,1217,17,Samosir,6,Middle MC,1119.0949,12,126095.9998,0.8875
2019,12,Sumatera Utara,1217,17,Samosir,8,Upper Class,74.6038,1,126095.9998,0.0592
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,1,Poor,36927.8991,172,615954.0082,5.9952
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,2,Vulnerable,150912.4915,642,615954.0082,24.5006
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,3,Lower AMC,285508.2290,1261,615954.0082,46.3522
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,4,Upper AMC,95325.7467,407,615954.0082,15.4761
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,5,Lower MC,43271.3531,199,615954.0082,7.0251
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,6,Middle MC,3069.8979,17,615954.0082,0.4984
2019,12,Sumatera Utara,1218,18,Serdang Bedagai,7,Upper MC,938.3910,3,615954.0082,0.1523
2019,12,Sumatera Utara,1219,19,Batu Bara,1,Poor,35256.7820,236,415617.0047,8.4830
2019,12,Sumatera Utara,1219,19,Batu Bara,2,Vulnerable,140195.8947,819,415617.0047,33.7320
2019,12,Sumatera Utara,1219,19,Batu Bara,3,Lower AMC,160894.7132,873,415617.0047,38.7123
2019,12,Sumatera Utara,1219,19,Batu Bara,4,Upper AMC,47156.1344,284,415617.0047,11.3461
2019,12,Sumatera Utara,1219,19,Batu Bara,5,Lower MC,29634.2510,182,415617.0047,7.1302
2019,12,Sumatera Utara,1219,19,Batu Bara,6,Middle MC,2315.5245,16,415617.0047,0.5571
2019,12,Sumatera Utara,1219,19,Batu Bara,7,Upper MC,163.7050,1,415617.0047,0.0394
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,1,Poor,19889.6836,110,271470.0007,7.3267
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,2,Vulnerable,67852.9412,479,271470.0007,24.9946
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,3,Lower AMC,114705.8845,939,271470.0007,42.2536
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,4,Upper AMC,46546.9478,387,271470.0007,17.1463
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,5,Lower MC,21259.9399,196,271470.0007,7.8314
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,6,Middle MC,675.5533,6,271470.0007,0.2489
2019,12,Sumatera Utara,1220,20,Padang Lawas Utara,8,Upper Class,539.0504,5,271470.0007,0.1986
2019,12,Sumatera Utara,1221,21,Padang Lawas,1,Poor,13902.5990,71,279797.9980,4.9688
2019,12,Sumatera Utara,1221,21,Padang Lawas,2,Vulnerable,72665.8148,513,279797.9980,25.9708
2019,12,Sumatera Utara,1221,21,Padang Lawas,3,Lower AMC,131196.3884,1007,279797.9980,46.8897
2019,12,Sumatera Utara,1221,21,Padang Lawas,4,Upper AMC,42350.0489,339,279797.9980,15.1359
2019,12,Sumatera Utara,1221,21,Padang Lawas,5,Lower MC,19201.1921,178,279797.9980,6.8625
2019,12,Sumatera Utara,1221,21,Padang Lawas,6,Middle MC,378.6021,5,279797.9980,0.1353
2019,12,Sumatera Utara,1221,21,Padang Lawas,8,Upper Class,103.3528,2,279797.9980,0.0369
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,1,Poor,11857.1844,76,337458.9999,3.5137
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,2,Vulnerable,68787.3947,413,337458.9999,20.3839
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,3,Lower AMC,165254.0669,1138,337458.9999,48.9701
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,4,Upper AMC,55626.8487,416,337458.9999,16.4840
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,5,Lower MC,34839.8754,278,337458.9999,10.3242
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,6,Middle MC,792.6462,6,337458.9999,0.2349
2019,12,Sumatera Utara,1222,22,Labuhan Batu Selatan,8,Upper Class,300.9836,2,337458.9999,0.0892
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,1,Poor,25428.7592,174,363092.9909,7.0034
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,2,Vulnerable,96263.7904,547,363092.9909,26.5122
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,3,Lower AMC,152333.8194,944,363092.9909,41.9545
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,4,Upper AMC,57413.4412,386,363092.9909,15.8123
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,5,Lower MC,30207.0642,251,363092.9909,8.3194
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,6,Middle MC,1395.0608,12,363092.9909,0.3842
2019,12,Sumatera Utara,1223,23,Labuhan Batu Utara,7,Upper MC,51.0556,5,363092.9909,0.0141
2019,12,Sumatera Utara,1224,24,Nias Utara,1,Poor,44746.8070,689,137726.0001,32.4897
