kabkota_4digit,kode_prov,nama_prov,kode_kab_2digit,nama_kab
1225,12,Sumatera Utara,25,Kab Nias Barat
1271,12,Sumatera Utara,71,Kota Sibolga
1272,12,Sumatera Utara,72,Kota Tanjung Balai
1273,12,Sumatera Utara,73,Kota Pematangsiantar
1274,12,Sumatera Utara,74,Kota Tebing Tinggi
1275,12,Sumatera Utara,75,Kota Medan
1276,12,Sumatera Utara,76,Kota Binjai
1277,12,Sumatera Utara,77,Kota Padang Sidempuan
1278,12,Sumatera Utara,78,Kota Gunungsitoli
1301,13,Sumatera Barat,1,Kab Kepulauan Mentawai
1302,13,Sumatera Barat,2,Kab Pesisir Selatan
1303,13,Sumatera Barat,3,Kab Solok
1304,13,Sumatera Barat,4,Kab Sijunjung
1305,13,Sumatera Barat,5,Kab Tanah Datar
1306,13,Sumatera Barat,6,Kab Padang Pariaman
1307,13,Sumatera Barat,7,Kab Agam
1308,13,Sumatera Barat,8,Kab Lima Puluh Kota
1309,13,Sumatera Barat,9,Kab Pasaman
1310,13,Sumatera Barat,10,Kab Solok Selatan
1311,13,Sumatera Barat,11,Kab Dharmasraya
1312,13,Sumatera Barat,12,Kab Pasaman Barat
1371,13,Sumatera Barat,71,Kota Padang
1372,13,Sumatera Barat,72,Kota Solok
1373,13,Sumatera Barat,73,Kota Sawahlunto
1374,13,Sumatera Barat,74,Kota Padang Panjang
1375,13,Sumatera Barat,75,Kota Bukittinggi
1376,13,Sumatera Barat,76,Kota Payakumbuh
1377,13,Sumatera Barat,77,Kota Pariaman
1401,14,Riau,1,Kab Kuantan Singingi
1402,14,Riau,2,Kab Indragiri Hulu
1403,14,Riau,3,Kab Indragiri Hilir
1404,14,Riau,4,Kab Pelalawan
1405,14,Riau,5,Kab Siak
1406,14,Riau,6,Kab Kampar
1407,14,Riau,7,Kab Rokan Hulu
1408,14,Riau,8,Kab Bengkalis
1409,14,Riau,9,Kab Rokan Hilir
1410,14,Riau,10,Kab Kepulauan Meranti
1471,14,Riau,71,Kota Pekanbaru
1473,14,Riau,73,Kota Dumai
1501,15,Jambi,1,Kab Kerinci
1502,15,Jambi,2,Kab Merangin
1503,15,Jambi,3,Kab Sarolangun
1504,15,Jambi,4,Kab Batanghari
1505,15,Jambi,5,Kab Muaro Jambi
1506,15,Jambi,6,Kab Tanjung Jabung Timur
1507,15,Jambi,7,Kab Tanjung Jabung Barat
1508,15,Jambi,8,Kab Tebo
1509,15,Jambi,9,Kab Bungo
1571,15,Jambi,71,Kota Jambi
1572,15,Jambi,72,Kota Sungai Penuh
1601,16,Sumatera Selatan,1,Kab Ogan Komering Ulu
1602,16,Sumatera Selatan,2,Kab Ogan Komering Ilir
1603,16,Sumatera Selatan,3,Kab Muara Enim
1604,16,Sumatera Selatan,4,Kab Lahat
1605,16,Sumatera Selatan,5,Kab Musi Rawas
1606,16,Sumatera Selatan,6,Kab Musi Banyuasin
1607,16,Sumatera Selatan,7,Kab Banyuasin
1608,16,Sumatera Selatan,8,Kab Ogan Komering Ulu Selatan
1609,16,Sumatera Selatan,9,Kab Ogan Komering Ulu Timur
1610,16,Sumatera Selatan,10,Kab Ogan Ilir
1611,16,Sumatera Selatan,11,Kab Empat Lawang
1612,16,Sumatera Selatan,12,Kab Penukal Abab Lematang Ilir
1613,16,Sumatera Selatan,13,Kab Musi Rawas Utara
1671,16,Sumatera Selatan,71,Kota Palembang
1672,16,Sumatera Selatan,72,Kota Prabumulih
1673,16,Sumatera Selatan,73,Kota Pagar Alam
1674,16,Sumatera Selatan,74,Kota Lubuk Linggau
1701,17,Bengkulu,1,Kab Bengkulu Selatan
1702,17,Bengkulu,2,Kab Rejang Lebong
1703,17,Bengkulu,3,Kab Bengkulu Utara
1704,17,Bengkulu,4,Kab Kaur
1705,17,Bengkulu,5,Kab Seluma
1706,17,Bengkulu,6,Kab Muko Muko
1707,17,Bengkulu,7,Kab Lebong
1708,17,Bengkulu,8,Kab Kepahiang
1709,17,Bengkulu,9,Kab Bengkulu Tengah
1771,17,Bengkulu,71,Kota Bengkulu
1801,18,Lampung,1,Kab Lampung Barat
1802,18,Lampung,2,Kab Tanggamus
1803,18,Lampung,3,Kab Lampung Selatan
1804,18,Lampung,4,Kab Lampung Timur
1805,18,Lampung,5,Kab Lampung Tengah
1806,18,Lampung,6,Kab Lampung Utara
1807,18,Lampung,7,Kab Way Kanan
1808,18,Lampung,8,Kab Tulang Bawang
1809,18,Lampung,9,Kab Pesawaran
1810,18,Lampung,10,Kab Pringsewu
1811,18,Lampung,11,Kab Mesuji
1812,18,Lampung,12,Kab Tulang Bawang Barat
1813,18,Lampung,13,Kab Pesisir Barat
1871,18,Lampung,71,Kota Bandar Lampung
1872,18,Lampung,72,Kota Metro
1901,19,Kepulauan Bangka Belitung,1,Kab Bangka
1902,19,Kepulauan Bangka Belitung,2,Kab Belitung
1903,19,Kepulauan Bangka Belitung,3,Kab Bangka Barat
1904,19,Kepulauan Bangka Belitung,4,Kab Bangka Tengah
1905,19,Kepulauan Bangka Belitung,5,Kab Bangka Selatan
1906,19,Kepulauan Bangka Belitung,6,Kab Belitung Timur
1971,19,Kepulauan Bangka Belitung,71,Kota Pangkal Pinang
2101,21,Kepulauan Riau,1,Kab Karimun
2102,21,Kepulauan Riau,2,Kab Bintan
2103,21,Kepulauan Riau,3,Kab Natuna
2104,21,Kepulauan Riau,4,Kab Lingga
2105,21,Kepulauan Riau,5,Kab Kepulauan Anambas
2171,21,Kepulauan Riau,71,Kota Batam
2172,21,Kepulauan Riau,72,Kota Tanjung Pinang
3101,31,DKI Jakarta,1,Kab ADM Kep Seribu
3171,31,DKI Jakarta,71,Kota ADM Jakarta Selatan
3172,31,DKI Jakarta,72,Kota ADM Jakarta Timur
3173,31,DKI Jakarta,73,Kota ADM Jakarta Pusat
3174,31,DKI Jakarta,74,Kota ADM Jakarta Barat
3175,31,DKI Jakarta,75,Kota ADM Jakarta Utara
3201,32,Jawa Barat,1,Kab Bogor
3202,32,Jawa Barat,2,Kab Sukabumi
3203,32,Jawa Barat,3,Kab Cianjur
3204,32,Jawa Barat,4,Kab Bandung
3205,32,Jawa Barat,5,Kab Garut
3206,32,Jawa Barat,6,Kab Tasikmalaya
3207,32,Jawa Barat,7,Kab Ciamis
3208,32,Jawa Barat,8,Kab Kuningan
3209,32,Jawa Barat,9,Kab Cirebon
3210,32,Jawa Barat,10,Kab Majalengka
3211,32,Jawa Barat,11,Kab Sumedang
3212,32,Jawa Barat,12,Kab Indramayu
3213,32,Jawa Barat,13,Kab Subang
3214,32,Jawa Barat,14,Kab Purwakarta
3215,32,Jawa Barat,15,Kab Karawang
3216,32,Jawa Barat,16,Kab Bekasi
3217,32,Jawa Barat,17,Kab Bandung Barat
3218,32,Jawa Barat,18,Kab Pangandaran
3271,32,Jawa Barat,71,Kota Bogor
3272,32,Jawa Barat,72,Kota Sukabumi
