provinsi_id,kabkota_id,kec_id,desa_id,vintage_year,kategori,count,kabkota_id_full,nama_kabkota,nama_desa
31,73,10,4,2018,kelompok_pertokoan,2,3173,Jakarta Pusat,Kebon Melati
31,73,10,5,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Petamburan
31,73,10,6,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Kebon Kacang
31,73,10,7,2018,kelompok_pertokoan,3,3173,Jakarta Pusat,Kampung Bali
31,73,20,1,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Menteng
31,73,20,2,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Pegangsaan
31,73,20,3,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Cikini
31,73,20,4,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Gondangdia
31,73,20,5,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Kebon Sirih
31,73,30,1,2018,kelompok_pertokoan,3,3173,Jakarta Pusat,Kenari
31,73,30,2,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Paseban
31,73,30,3,2018,kelompok_pertokoan,5,3173,Jakarta Pusat,Kramat
31,73,30,4,2018,kelompok_pertokoan,10,3173,Jakarta Pusat,Kwitang
31,73,30,5,2018,kelompok_pertokoan,3,3173,Jakarta Pusat,Senen
31,73,30,6,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Bungur
31,73,40,1,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Johar Baru
31,73,40,2,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Kampung Rawa
31,73,40,3,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Tanah Tinggi
31,73,40,4,2018,kelompok_pertokoan,30,3173,Jakarta Pusat,Galur
31,73,50,1,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Rawa Sari
31,73,50,2,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Cempaka Putih Timur
31,73,50,3,2018,kelompok_pertokoan,20,3173,Jakarta Pusat,Cempaka Putih Barat
31,73,60,1,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Harapan Mulya
31,73,60,2,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Cempaka Baru
31,73,60,3,2018,kelompok_pertokoan,2,3173,Jakarta Pusat,Sumur Batu
31,73,60,4,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Serdang
31,73,60,5,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Utan Panjang
31,73,60,6,2018,kelompok_pertokoan,6,3173,Jakarta Pusat,Kebon Kosong
31,73,60,7,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Kemayoran
31,73,60,8,2018,kelompok_pertokoan,3,3173,Jakarta Pusat,Gunung Sahari Selatan
31,73,70,1,2018,kelompok_pertokoan,2,3173,Jakarta Pusat,Pasar Baru
31,73,70,2,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Gunung Sahari Utara
31,73,70,3,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Kartini
31,73,70,4,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Karang Anyar
31,73,70,5,2018,kelompok_pertokoan,2,3173,Jakarta Pusat,Mangga Dua Selatan
31,73,80,1,2018,kelompok_pertokoan,1,3173,Jakarta Pusat,Cideng
31,73,80,2,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Petojo Selatan
31,73,80,3,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Gambir
31,73,80,4,2018,kelompok_pertokoan,2,3173,Jakarta Pusat,Kebon Kelapa
31,73,80,5,2018,kelompok_pertokoan,3,3173,Jakarta Pusat,Petojo Utara
31,73,80,6,2018,kelompok_pertokoan,0,3173,Jakarta Pusat,Duri Pulo
31,74,10,1,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Joglo
31,74,10,2,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Srengseng
31,74,10,3,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Meruya Selatan
31,74,10,4,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Meruya Utara
31,74,10,5,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Kembangan Selatan
31,74,10,6,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Kembangan Utara
31,74,20,1,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Sukabumi Selatan
31,74,20,2,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Sukabumi Utara
31,74,20,3,2018,kelompok_pertokoan,16,3174,Jakarta Barat,Kelapa Dua
31,74,20,4,2018,kelompok_pertokoan,7,3174,Jakarta Barat,Kebon Jeruk
31,74,20,5,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Duri Kepa
31,74,20,6,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Kedoya Selatan
31,74,20,7,2018,kelompok_pertokoan,5,3174,Jakarta Barat,Kedoya Utara
31,74,30,1,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Palmerah
31,74,30,2,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Slipi
31,74,30,3,2018,kelompok_pertokoan,6,3174,Jakarta Barat,Kemanggisan
31,74,30,4,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Kota Bambu Utara
31,74,30,5,2018,kelompok_pertokoan,9,3174,Jakarta Barat,Kota Bambu Selatan
31,74,30,6,2018,kelompok_pertokoan,9,3174,Jakarta Barat,Jati Pulo
31,74,40,1,2018,kelompok_pertokoan,57,3174,Jakarta Barat,Tanjung Duren Utara
31,74,40,2,2018,kelompok_pertokoan,20,3174,Jakarta Barat,Tanjung Duren Selatan
31,74,40,3,2018,kelompok_pertokoan,10,3174,Jakarta Barat,Tomang
31,74,40,4,2018,kelompok_pertokoan,15,3174,Jakarta Barat,Grogol
31,74,40,5,2018,kelompok_pertokoan,12,3174,Jakarta Barat,Jelambar
31,74,40,6,2018,kelompok_pertokoan,8,3174,Jakarta Barat,Wijaya Kesuma
31,74,40,7,2018,kelompok_pertokoan,30,3174,Jakarta Barat,Jelambar Baru
31,74,50,1,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Kalianyar
31,74,50,2,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Duri Selatan
31,74,50,3,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Tanah Sereal
31,74,50,4,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Duri Utara
31,74,50,5,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Krendang
31,74,50,6,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Jembatan Besi
31,74,50,7,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Angke
31,74,50,8,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Jembatan Lima
31,74,50,9,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Tambora
31,74,50,10,2018,kelompok_pertokoan,17,3174,Jakarta Barat,Roa Malaka
31,74,50,11,2018,kelompok_pertokoan,0,3174,Jakarta Barat,Pekojan
31,74,60,1,2018,kelompok_pertokoan,10,3174,Jakarta Barat,Krukut
31,74,60,2,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Maphar
31,74,60,3,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Taman Sari
31,74,60,4,2018,kelompok_pertokoan,80,3174,Jakarta Barat,Tangki
31,74,60,5,2018,kelompok_pertokoan,10,3174,Jakarta Barat,Mangga Besar
31,74,60,6,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Keagungan
31,74,60,7,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Glodok
31,74,60,8,2018,kelompok_pertokoan,7,3174,Jakarta Barat,Pinangsia
31,74,70,1,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Duri Kosambi
31,74,70,2,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Rawa Buaya
31,74,70,3,2018,kelompok_pertokoan,1,3174,Jakarta Barat,Kedaung Kali Angke
31,74,70,4,2018,kelompok_pertokoan,2,3174,Jakarta Barat,Kapuk
31,74,70,5,2018,kelompok_pertokoan,6,3174,Jakarta Barat,Cengkareng Timur
31,74,70,6,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Cengkareng Barat
31,74,80,1,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Semanan
31,74,80,2,2018,kelompok_pertokoan,8,3174,Jakarta Barat,Kalideres
31,74,80,3,2018,kelompok_pertokoan,12,3174,Jakarta Barat,Pegadungan
31,74,80,4,2018,kelompok_pertokoan,4,3174,Jakarta Barat,Tegal Alur
31,74,80,5,2018,kelompok_pertokoan,3,3174,Jakarta Barat,Kamal
31,75,10,1,2018,kelompok_pertokoan,10,3175,Jakarta Utara,Kamal Muara
31,75,10,2,2018,kelompok_pertokoan,16,3175,Jakarta Utara,Kapuk Muara
