desa_id,kabkota_id_full,nama_desa,nama_kabkota,vintage_year,sektor,count_total,potensi_weighted
2,3172,Makasar,Jakarta Timur,2025,9,32,145646310.83538347
4,3175,Warakas,Jakarta Utara,2020,9,51,143877168.0753654
4,3175,Warakas,Jakarta Utara,2021,9,51,143877168.0753654
6,3171,Manggarai Selatan,Jakarta Selatan,2025,7,22,143258187.1862447
8,3172,Lubang Buaya,Jakarta Timur,2021,9,33,141334346.93877554
1,3172,Bale Kambang,Jakarta Timur,2020,9,25,141334346.9387755
9,3171,Rawa Barat,Jakarta Selatan,2021,7,31,140456481.23178637
2,3171,Pesanggrahan,Jakarta Selatan,2018,9,21,140337914.7884007
3,3173,Gambir,Jakarta Pusat,2020,7,20,139762236.91496667
4,3173,Gondangdia,Jakarta Pusat,2018,7,16,139762236.91496667
1,3172,Pisangan Timur,Jakarta Timur,2020,9,25,138193583.6734694
4,3174,Duri Utara,Jakarta Barat,2018,9,35,137042454.1805657
2,3171,Cipete Utara,Jakarta Selatan,2025,7,30,135299399.0092311
2,3174,Rawa Buaya,Jakarta Barat,2025,9,38,133123624.76477523
3,3101,Pulau Harapan,Kepulauan Seribu,2021,7,52,132894676.58843732
8,3171,Setia Budi,Jakarta Selatan,2018,9,1,132394259.23434031
2,3101,Pulau Pari,Kepulauan Seribu,2024,7,39,131972639.52569169
8,3172,Lubang Buaya,Jakarta Timur,2018,9,34,131912057.14285715
3,3172,Baru,Jakarta Timur,2020,9,22,131912057.14285713
3,3172,Baru,Jakarta Timur,2021,9,22,131912057.14285713
2,3101,Pulau Pari,Kepulauan Seribu,2020,9,35,130685516.4585698
7,3174,Angke,Jakarta Barat,2018,9,28,128295063.48818919
10,3171,Senayan,Jakarta Selatan,2021,7,8,128242874.16815276
5,3174,Krendang,Jakarta Barat,2020,7,8,127259643.84244497
2,3172,Cilangkap,Jakarta Timur,2018,9,20,125630530.6122449
1,3172,Pisangan Timur,Jakarta Timur,2021,9,24,125630530.6122449
2,3101,Pulau Pari,Kepulauan Seribu,2021,9,29,122922020.43132803
2,3101,Pulau Pari,Kepulauan Seribu,2018,7,48,122672009.15855753
4,3171,Pancoran,Jakarta Selatan,2021,7,18,122136070.63633597
3,3172,Munjul,Jakarta Timur,2024,9,16,121785570.82333231
4,3172,Kayu Manis,Jakarta Timur,2024,9,12,121785570.82333231
3,3173,Gambir,Jakarta Pusat,2021,7,18,121728399.89368065
9,3174,Tambora,Jakarta Barat,2025,9,25,119811262.28829771
5,3174,Kamal,Jakarta Barat,2021,9,29,119547672.79581265
5,3174,Kamal,Jakarta Barat,2018,9,29,119547672.79581265
5,3174,Kamal,Jakarta Barat,2020,9,29,119547672.79581265
1,3172,Kebon Manggis,Jakarta Timur,2020,9,20,119349004.08163266
1,3172,Kebon Manggis,Jakarta Timur,2021,9,20,119349004.08163266
2,3171,Kebayoran Lama Selatan,Jakarta Selatan,2020,9,25,119154833.31090628
2,3171,Kebayoran Lama Selatan,Jakarta Selatan,2021,9,25,119154833.31090628
2,3101,Pulau Kelapa,Kepulauan Seribu,2024,9,14,117865632.18390805
3,3174,Kelapa Dua,Jakarta Barat,2025,9,21,117148789.7930022
10,3171,Senayan,Jakarta Selatan,2025,7,10,116728893.26286605
2,3174,Duri Selatan,Jakarta Barat,2018,9,16,116631875.89835382
4,3172,Cipayung,Jakarta Timur,2025,9,20,116517048.66830677
1,3101,Pulau Tidung,Kepulauan Seribu,2021,9,27,116452440.40862656
3,3172,Pondok Kelapa,Jakarta Timur,2018,9,25,116208240.81632654
6,3172,Cakung Barat,Jakarta Timur,2021,9,25,116208240.81632654
3,3172,Jatinegara Kaum,Jakarta Timur,2018,9,37,116208240.81632653
8,3171,Setia Budi,Jakarta Selatan,2020,7,3,116029267.10451917
9,3171,Rawa Barat,Jakarta Selatan,2020,7,29,116029267.10451916
9,3171,Rawa Barat,Jakarta Selatan,2018,7,29,116029267.10451916
2,3101,Pulau Pari,Kepulauan Seribu,2020,7,45,115005008.58614768
3,3171,Ciganjur,Jakarta Selatan,2018,9,12,113859062.94153266
5,3172,Rambutan,Jakarta Timur,2020,9,27,109926714.28571428
